Name,Image,VFX,DIY,Buy,Sell,Color 1,Color 2,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Catalog,Version Added,Unlocked?,Filename,Internal ID,Unique Entry ID
aqua tile flooring,,No,No,900,225,Aqua,Aqua,NA,NA,Nook's Cranny,,NA,NA,151,bathroom,facility,None,Tile Floors,For sale,1.0.0,Yes,RoomTexFloorTile01,5036,JmNGqRhEow3PH7bgk
arabesque flooring,,No,No,2120,530,Black,Gray,NA,NA,Nook's Cranny,,NA,NA,151,expensive,living room,None,Cloth Floors,For sale,1.0.0,Yes,RoomTexFloorArabesque00,4953,4dabyuetmZD5dDdCH
arched-brick flooring,,No,No,1100,275,Brown,Brown,NA,NA,Nook's Cranny,,NA,NA,151,facility,shop,None,Arched Brick,For sale,1.0.0,Yes,RoomTexFloorArchBrick00,4998,CSPoYJzCnzWjqWrj5
argyle tile flooring,,No,No,1750,437,White,Beige,NA,NA,Nook's Cranny,,NA,NA,151,bathroom,facility,None,Tile Floors,For sale,1.0.0,Yes,RoomTexFloorTileWood00,4994,BH8PqRSou2XjQ8ppQ
artsy parquet flooring,,No,No,1800,450,Beige,Beige,NA,NA,Nook's Cranny,,NA,NA,151,facility,shop,None,Simple Parquet,For sale,1.0.0,Yes,RoomTexFloorParquetArt00,5232,fbfCzw546bWEF95Aq
backyard lawn,,No,Yes,NFS,600,Green,Green,NA,NA,Crafting,,NA,NA,103,garden,None,None,Grassland,Not for sale,1.0.0,Yes,RoomTexFloorLawn00,4979,kANgKb2s4a6pMSjnd
bamboo flooring,,No,Yes,NFS,2400,Green,Beige,NA,NA,Crafting,,NA,NA,103,harmonious,None,bamboo,Nature - Green,Not for sale,1.0.0,Yes,RoomTexFloorBamboo00,4964,gMeLjZdPobbrt58sT
basement flooring,,No,Yes,NFS,1500,Gray,Gray,NA,NA,Crafting,,NA,NA,103,horror,facility,None,Stone Floors,Not for sale,1.0.0,Yes,RoomTexFloorBasement00,4797,DgaMSqGEyko87dD3H
beige desert-tile flooring,,No,No,2100,525,Beige,White,NA,NA,Nook's Cranny,,NA,NA,151,bathroom,facility,None,Morocco,For sale,1.0.0,Yes,RoomTexFloorMorocco00,4965,yhH3pNWq8L8j48tHW
berry-chocolates flooring,,No,No,3000,750,Pink,Pink,NA,NA,Saharah,,NA,NA,451,fancy,None,None,Chocolate,Not for sale,1.0.0,Yes,RoomTexFloorChocolate02,5053,E7Mfi6saTnBEgW6o8
birch flooring,,No,No,800,200,White,White,NA,NA,Nook's Cranny,,NA,NA,151,living room,child's room,None,Wood Floors,For sale,1.0.0,Yes,RoomTexFloorBirch00,5032,2tg7thFuaxAAiDTsv
black iron-parquet flooring,,No,No,2350,587,Black,White,NA,NA,Nook's Cranny,,NA,NA,151,expensive,living room,None,Iron Parquet,For sale,1.0.0,Yes,RoomTexFloorParquetIron02,5066,24iNYeWLqkR2juaqx
black-brick flooring,,No,No,1040,260,Black,Black,NA,NA,Nook's Cranny,,NA,NA,151,facility,shop,None,Brick,For sale,1.0.0,Yes,RoomTexFloorBrick02,4976,9KuQFNKWxmCH4Wmvh
block flooring,,No,No,3000,750,Brown,Brown,NA,NA,Nook Shopping Promotion,,Super Mario Bros.,Yes,201,fancy,child's room,Mario,Mario,Not in catalog,1.8.0,Yes,RoomTexFloorMario00,13804,9eBvLr6aCPPym2LFP
